,number,auprc,latency,datetime_start,datetime_complete,duration,params_alpha,params_gamma,params_lambda,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state,experiment
72,72,0.7670294428220765,0.5818607807159424,2021-06-15 17:50:59.032063,2021-06-15 17:51:08.779263,0 days 00:00:09.747200,1.013390586188343,6.936444966383828,5.748289858068558,4.277815044893585e-06,0.9215379111180289,19,9.155162178832994,135,0.33126190345800055,COMPLETE,Random
73,73,0.7839354967879247,0.8729548454284668,2021-06-15 17:51:08.780151,2021-06-15 17:51:52.279727,0 days 00:00:43.499576,0.8898725772700256,2.1977398811091744e-06,7.452348066894975,2.0401272151903003e-05,4.73857205490316,13,8.843515775287093,347,0.6812607970989016,COMPLETE,Random
74,74,0.8099918746929033,0.7856130599975586,2021-06-15 17:51:52.280610,2021-06-15 17:52:30.262589,0 days 00:00:37.981979,3.9158633919476173,8.270669550699644e-05,9.387634585530304,0.00010442809696156181,7.340627048366794,9,1.9654976631133212,205,0.8217617386137603,COMPLETE,Random
75,75,0.8598890384984623,0.721825122833252,2021-06-15 17:52:30.263469,2021-06-15 17:52:58.951367,0 days 00:00:28.687898,8.699833163885591,1.1680136354592662e-06,7.492813402860997,0.8987486914000632,5.34029431238401,13,1.4177549057932537,355,0.7336283821157632,COMPLETE,Random
76,76,0.763328406726637,0.6862239837646484,2021-06-15 17:52:58.952321,2021-06-15 17:53:20.687413,0 days 00:00:21.735092,1.4576474892665947,3.649233366406957e-05,7.610231445895963,0.0008940776597703409,0.03697270037571365,10,9.35782706396873,201,0.6603397717355708,COMPLETE,Random
77,77,0.8489400498513264,0.5355620384216309,2021-06-15 17:53:20.688274,2021-06-15 17:53:24.908443,0 days 00:00:04.220169,4.80844265670758,0.005271861910522825,7.239506013138445,0.928694490184091,0.8875143242088479,13,7.25675529402182,26,0.7998283427220529,COMPLETE,Random
78,78,0.7983775764473957,1.0673949718475342,2021-06-15 17:53:24.909320,2021-06-15 17:53:56.642789,0 days 00:00:31.733469,2.471978119235745,0.006281209672610875,4.618106118613838,0.00043324705396497034,7.374088623057426,3,1.058318931332563,498,0.24049652894217655,COMPLETE,Random
79,79,0.7948569290121553,0.7058560848236084,2021-06-15 17:53:56.643668,2021-06-15 17:54:17.106029,0 days 00:00:20.462361,0.33095921159524755,4.677593326782155e-06,2.023548383779218,1.0696077445914923e-05,9.4288634562706,20,5.400147199319045,185,0.4444760507173272,COMPLETE,Random
80,80,0.7527086321984675,0.7662820816040039,2021-06-15 17:54:17.106925,2021-06-15 17:54:33.720123,0 days 00:00:16.613198,8.68260841788642,1.2103896689671836e-05,5.502116503573447,0.0008130935239801395,1.4709099308386964,2,8.738950196029695,285,0.34521289694223734,COMPLETE,Random
81,81,0.8672751171873392,1.3405261039733887,2021-06-15 17:54:33.721012,2021-06-15 17:56:00.854438,0 days 00:01:27.133426,5.207626073718182,0.9539390425659559,0.5262516621321012,0.01854625748944308,2.055496997118038,5,1.2605314039963293,431,0.8013422104857826,COMPLETE,Random
82,82,0.7954060406325694,0.569530725479126,2021-06-15 17:56:00.855358,2021-06-15 17:56:06.868510,0 days 00:00:06.013152,0.17181665624552922,0.02319091518952173,1.8490574523480907,0.0010753047761133197,6.249271917514665,14,3.9486781634657504,58,0.2968236614918849,COMPLETE,Random
83,83,0.749407571939336,0.7003679275512695,2021-06-15 17:56:06.869458,2021-06-15 17:56:17.945444,0 days 00:00:11.075986,8.086020886603638,1.7436032278766015e-05,2.380466090644353,0.0003029118163070745,7.734142996833806,1,9.577828304116707,268,0.3715922591367881,COMPLETE,Random
84,84,0.8414625302222628,0.5907831192016602,2021-06-15 17:56:17.946343,2021-06-15 17:56:53.594140,0 days 00:00:35.647797,6.7345787143954325,3.433425087564186,9.386904037372657,0.8401149748454971,9.562371465910001,11,2.233507671044336,449,0.28477916348767884,COMPLETE,Random
85,85,0.8707738449227084,1.040259838104248,2021-06-15 17:56:53.594999,2021-06-15 17:57:28.634802,0 days 00:00:35.039803,4.018963376004157,0.0011110350618438237,9.153552222126914,0.05838765786799708,4.189422929597137,12,8.665346393414787,396,0.5036930057765505,COMPLETE,Random
86,86,0.8185497394696717,0.6391191482543945,2021-06-15 17:57:28.635696,2021-06-15 17:57:58.641624,0 days 00:00:30.005928,5.601704802663424,5.207714147071083,8.912708719633871,0.12733691051538187,4.7999163685686685,3,2.7136660406957342,427,0.3145695040093093,COMPLETE,Random
87,87,0.8021395955378259,0.7945752143859863,2021-06-15 17:57:58.642470,2021-06-15 17:58:19.085287,0 days 00:00:20.442817,1.4004448954302895,0.20986699302110295,7.774186421416182,0.008108613657744995,7.96344542462011,20,7.92684901274697,311,0.2664903760181881,COMPLETE,Random
88,88,0.7965080431501681,0.6879878044128418,2021-06-15 17:58:19.086164,2021-06-15 17:58:38.764744,0 days 00:00:19.678580,1.5041166608761836,0.0005353862867865411,4.548927720773883,0.0030706388231792254,4.016864154033484,7,6.72875515538261,181,0.4723754045939413,COMPLETE,Random
89,89,0.8341406859015089,1.043159008026123,2021-06-15 17:58:38.765638,2021-06-15 17:59:51.580260,0 days 00:01:12.814622,2.290696580347442,0.014297547458702148,3.7482685205675006,0.0059599710535409,6.0046527603258415,15,9.823167064980796,481,0.8836199907386477,COMPLETE,Random
90,90,0.7833047539088667,0.7955899238586426,2021-06-15 17:59:51.581145,2021-06-15 18:00:14.430661,0 days 00:00:22.849516,8.558188588191255,0.2813910809710904,1.1183188218237339,4.713344608109703e-05,0.5995399633211396,11,3.8287751313799507,264,0.38980554369438974,COMPLETE,Random
91,91,0.8743263992386214,1.0840139389038086,2021-06-15 18:00:14.431965,2021-06-15 18:00:53.897281,0 days 00:00:39.465316,4.509015000109661,4.705724311297144e-05,6.7911394627841055,0.046001306204261926,3.393204254303812,16,9.170885365397126,438,0.5207176331956438,COMPLETE,Random
92,92,0.8851825274321953,1.4762020111083984,2021-06-15 18:00:53.898178,2021-06-15 18:02:09.022797,0 days 00:01:15.124619,4.335272522956307,0.0012947456452631183,3.6613294852480394,0.05503643554812152,2.8758405826100297,11,2.8588536408063647,400,0.7985004871093673,COMPLETE,Random
93,93,0.8598890384984623,0.9705448150634766,2021-06-15 18:02:09.023687,2021-06-15 18:02:43.598518,0 days 00:00:34.574831,9.91239997334145,7.296253526037638e-06,6.257096995468197,0.053765151067079055,1.7697403622163277,5,8.687589981032824,354,0.5645961193091102,COMPLETE,Random
